"gene","cluster_1","cluster_2","cluster_3","cluster_4"
"gse1",0.0743056361172566,0.125579649011367,0.0272958379800314,0.032151821084182
"gins2",0.123869190826096,0.0530844794561056,0.0756123242016187,0.0247910265924242
"x1190005i06rik",0.00785042360902278,0.000640441118890723,0.00872426333680442,0.0237276079446542
"emc8",0.304451705662895,0.23727700872559,0.346697516267386,0.521721897813847
"cox4i1",2.48550992952657,2.36629602160703,2.47297213837011,2.62025414759715
"irf8",0.96122975552183,1.57623166868038,1.63751084151351,3.58773255787068
"mthfsd",0.072598857441044,0.0753998665141843,0.0656553387743319,0.0763309658418415
"fbxo31",0.109235182234985,0.0627579587295652,0.0173672118111321,0.0693618330251014
"map1lc3b",1.28838299790681,1.11390939711061,1.05827778572221,1.33220105127774
"zcchc14",0,0,0,0
"klhdc4",0.176124279393145,0.116066073101971,0.076162394394923,0.143414152019126
"slc7a5",0.0537298129479304,0.0226876282932515,0.0199485796271985,0.244431881713173
"car5a",0,0,0.00122678316344997,0.0214321999677565
"banp",0.144343920024354,0.0866664199046865,0.0614000938136478,0.10061504605899
"zfpm1",0.0604163906270838,0.0885058259190435,0.0151025772453829,0.0126635921312499
"zc3h18",0.152323657124347,0.137128159969587,0.111823138655828,0.139321264448617
"cyba",2.36650976210055,2.51075689704141,2.77050082600363,2.38405100486898
"mvd",0.106580554307202,0.0729476480647221,0.204247972085175,0.789366770454048
"snai3",0.0724183946104131,0.0350225914775581,0.00603258954418345,0.0426421208782766
"rnf166",0.457384456152285,0.391448354423244,0.129938849983622,0.330646448193549
"ctu2",0.153028485676932,0.147025914365152,0.0836129466975055,0.1857191392004
"piezo1",0.0594880966888107,0.0371295780187029,0.149167972451872,0.0325038325891569
"cdt1",0.13658504767476,0.123993850059679,0.0392903755152512,0.0189918150612185
"aprt",1.04026611929092,0.505020430809764,0.312374240138052,0.322763540794436
"galns",0.0773441743898794,0.0446166536643616,0.0249861377862046,0.0895328631246547
"trappc2l",0.429748184786796,0.388527671154903,0.267581741430928,0.656840075123004
"cbfa2t3",0.0197591238526592,0.123034511857505,1.10699464173221,0.60983705924585
"gm10612",0,0.00192018546532076,0.0156277026766892,0
"acsf3",0.0318672126172997,0.0322175299876698,0.0695787833033753,0.0129664189971418
"cdh15",0,0,0.00255640560809078,0
"ankrd11",0.436645116713336,0.512350502372353,0.338966930569315,0.380862850464235
"spg7",0.183037168513872,0.122847920395147,0.110116899045144,0.136692154349451
"rpl13",4.14029289169137,4.20341820385241,3.60713345628313,3.88218562756308
"cpne7",0.00648144268474902,0.0368518758599421,0.00124034425130081,0
"chmp1a",0.425860105880949,0.450675734331493,0.438878539070247,0.419090167750891
"cdk10",0.049997945985885,0.0539562687648297,0.04241389431174,0.0547738503409133
"spata2l",0.0237828166183968,0.0185394257761524,0.00718676856964598,0.0076912332634445
"vps9d1",0.0519292765591549,0.0530600747111772,0.140210487629451,0.070754832864183
"zfp276",0.0336351980817208,0.0264354591824604,0.0310819446723607,0.0263749492420208
"fanca",0.0118571025088955,0.0055670528470682,0.00603530783480065,0.000943691700417503
"tcf25",0.681054001478269,0.537258121263439,0.695315700247308,0.67601163307584
"tubb3",0,0.00106127235459658,0.0146218724258371,0.0783649374356095
"def8",0.0360840055192683,0.0202150723418198,0.00812784071139713,0.068880275782084
"afg3l1",0.259303449475274,0.165179434440187,0.109122523803242,0.289889641191861
"gas8",0.0341644063036393,0.0169455930469571,0.0336554294181017,0.0649512340654994
"rhou",0.000684239919821769,0.00310848446153391,0.00373966801517332,0.0017239937344524
"rab4a",0.0956389801897413,0.045455745202418,0.0118742303775448,0.014573851472385
"x2810455o05rik",0,0.00316738483814076,0,0
"ccsap",0.0202882474039402,0.0184334944112217,0.00880798400301632,0.000943691700417503
"nup133",0.0394972147945683,0.0255627336661782,0.0185519363206516,0.0308282093771683
"abcb10",0.0228227895988746,0.0278948574636273,0.00915541598100855,0.0430805397967316
"taf5l",0.0930828489418904,0.0687908695291279,0.0450957567753909,0.0997110546690827
"urb2",0.0157578553176636,0.0104732985866863,0.00134314374805502,0.0134865506031983
"cog2",0.069656257355467,0.0615375973460608,0.0691761210233986,0.0734147275515183
"x2310022b05rik",0.0306128772418455,0.0218683910270845,0.0454571192543413,0.202716545813624
"ttc13",0.116478638159472,0.0852553101368954,0.0445207786502869,0.181818487560203
"arv1",0.0190597637731918,0.0151991708524074,0.0124264865882625,0.0512202365998356
"fam89a",0.0242511671526949,0.00449122445786786,0.403735985316888,0.0601043979285528
"x2810004n23rik",0.186242397451111,0.162002916140474,0.0724022285425613,0.116859738278862
"gnpat",0.0884597259227389,0.086970518819652,0.0350052589452578,0.0838346654236653
"exoc8",0.034320431899053,0.0386458096514435,0.0266222529890697,0.0305979009314624
"sprtn",0.00278885135983497,0.00188553430456051,0.000870956283446071,0.00322907807965487
"egln1",0.113499293991566,0.0770288696407014,0.0432357404992228,0.0419013503530927
"tsnax",0.232420268752821,0.238999789401259,0.0987432892410961,0.246953680249635
"disc1",0.0177425993847794,0.0538366304379841,0.00491201237655613,0.0590786328491734
"sipa1l2",0.00744153506259408,0.0112561363521117,0.00126463485275854,0.0163568840565837
"map10",0,0.00365880374125939,0.00376363040021278,0.0208628125674583
"ntpcr",0.151352853051518,0.107356391789295,0.0794446085564827,0.239408034471038
"kcnk1",0,0.00092325624208696,0,0
"coa6",0.311706255117282,0.255145523662236,0.134183589520282,0.321356731853164
