order,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
116,6.04E-106,0.551340889,0.823,0.382,8.44E-102,1,Rinl
117,8.74E-106,-1.812561134,0.119,0.619,1.22E-101,1,Wfdc17
118,2.32E-105,0.783101189,0.973,0.915,3.25E-101,1,Lgals1
119,7.06E-105,0.431560322,0.513,0.151,9.88E-101,1,D16Ertd472e
120,3.45E-104,0.260860924,0.295,0.053,4.82E-100,1,F2r
121,7.89E-104,-0.990367695,0.154,0.637,1.10E-99,1,Irf5
122,1.14E-103,-1.07630417,0.066,0.579,1.60E-99,1,Mpeg1
123,1.41E-102,0.582735028,0.834,0.384,1.97E-98,1,Cd82
124,2.70E-102,0.576920751,0.751,0.325,3.78E-98,1,Ifi27
125,2.54E-101,0.261702297,0.331,0.068,3.56E-97,1,Slc2a3
126,1.30E-100,-2.338401824,0.543,0.789,1.82E-96,1,H2-Ab1
127,1.46E-100,-1.207293356,0.083,0.581,2.04E-96,1,Plbd1
128,1.72E-100,0.449691902,1,0.983,2.40E-96,1,Coro1a
129,2.98E-100,-2.393855934,0.216,0.653,4.17E-96,1,Ccl6
130,3.18E-100,-1.143509712,0.472,0.766,4.44E-96,1,Lamp1
131,3.65E-100,0.450582359,0.372,0.091,5.11E-96,1,Havcr2
132,7.18E-100,-1.314988504,0.216,0.649,1.00E-95,1,Cd68
133,1.15E-99,0.278347961,0.395,0.096,1.60E-95,1,Xlr4b
134,1.20E-99,0.507795176,0.726,0.306,1.68E-95,1,Ptpn22
135,2.30E-99,0.384552768,1,0.999,3.21E-95,1,Rpl39
136,7.82E-99,0.561515404,0.971,0.76,1.09E-94,1,Cnn2
137,1.10E-98,0.466646192,0.547,0.168,1.53E-94,1,Il18r1
138,1.14E-98,-1.510414808,0.066,0.561,1.59E-94,1,Tgfbi
139,3.37E-98,0.476923208,0.996,0.954,4.71E-94,1,Myl12a
140,4.74E-98,-1.693374164,0.118,0.592,6.63E-94,1,Aif1
141,5.64E-98,-2.334536156,0.435,0.742,7.89E-94,1,H2-Aa
142,1.57E-97,-0.940955012,0.044,0.541,2.20E-93,1,Pirb
143,1.98E-97,-0.881072229,0.491,0.809,2.78E-93,1,Ier5
144,6.84E-97,0.52866956,0.994,0.955,9.56E-93,1,Eef2
145,7.59E-97,-1.267083101,0.231,0.65,1.06E-92,1,Grn
146,2.39E-96,0.413528566,0.622,0.209,3.34E-92,1,S1pr4
147,1.93E-95,0.367793751,1,0.998,2.71E-91,1,Rpl4
148,2.55E-95,0.431914336,0.549,0.173,3.57E-91,1,Phgdh
149,1.02E-94,0.295259219,0.414,0.105,1.43E-90,1,Ppp1r16b
150,1.79E-94,0.437028403,0.622,0.221,2.50E-90,1,Spn
151,3.89E-94,0.350056044,0.52,0.155,5.44E-90,1,Sla2
152,5.69E-94,-1.225691636,0.073,0.556,7.96E-90,1,Cybb
153,1.38E-93,0.580491332,0.902,0.608,1.93E-89,1,Anxa6
154,4.11E-93,0.413193689,0.566,0.194,5.75E-89,1,Prkch
155,7.20E-93,0.558506367,0.632,0.248,1.01E-88,1,Dnajc9
156,9.68E-93,-1.270129271,0.064,0.545,1.35E-88,1,Fcgr2b
157,1.00E-92,0.323651424,0.407,0.109,1.40E-88,1,Stk39
158,4.31E-92,0.310341757,1,0.999,6.03E-88,1,Rps10
159,9.96E-92,0.318680576,1,1,1.39E-87,1,Eef1a1
160,1.01E-91,-1.113271307,0.179,0.62,1.41E-87,1,Metrnl
161,1.39E-91,0.288412336,0.22,0.034,1.95E-87,1,Izumo1r
162,3.06E-91,0.300186372,1,0.999,4.28E-87,1,Rpl24
163,5.43E-91,-0.863965871,0.075,0.547,7.59E-87,1,Csf2ra
164,7.26E-91,0.423818816,0.324,0.073,1.02E-86,1,Nr4a2
165,8.94E-91,-0.877925617,0.062,0.541,1.25E-86,1,Ncf2
166,2.49E-90,0.275427974,0.405,0.104,3.48E-86,1,Tbx21
167,3.14E-90,0.342533284,0.47,0.133,4.39E-86,1,Gm19585
168,1.60E-89,0.290682018,0.439,0.12,2.24E-85,1,Prkcq
169,2.59E-89,0.581659662,0.873,0.566,3.63E-85,1,B4galnt1
170,3.97E-88,-0.529343854,0.996,0.991,5.56E-84,1,H3f3a
171,5.61E-88,-2.229872206,0.347,0.683,7.84E-84,1,H2-Eb1
172,1.57E-87,-1.515313203,0.171,0.587,2.20E-83,1,Naaa
173,4.05E-87,0.359905328,1,1,5.66E-83,1,Rpl41
174,5.02E-87,0.346478803,1,0.991,7.02E-83,1,Rpl12
175,5.13E-87,0.361261793,1,0.996,7.17E-83,1,Rpl3
176,5.74E-87,0.260217658,0.283,0.058,8.03E-83,1,Bspry
177,6.98E-87,0.408049192,0.497,0.161,9.76E-83,1,Mcm6
178,1.42E-86,-0.874614487,0.193,0.613,1.98E-82,1,Tpd52
179,5.63E-86,-1.342085227,0.291,0.684,7.88E-82,1,Fos
180,1.88E-85,0.493619062,0.613,0.229,2.63E-81,1,Dusp2
181,2.42E-85,0.293151534,1,1,3.39E-81,1,Rpl17
182,2.54E-85,0.335195106,0.676,0.243,3.55E-81,1,Gimap9
183,8.77E-85,-1.207908974,0.062,0.514,1.23E-80,1,Ifi204
184,4.01E-84,-1.025740042,0.241,0.655,5.61E-80,1,Jun
185,1.28E-83,-0.548600875,0.948,0.945,1.79E-79,1,Gabarap
186,1.55E-83,-0.987215797,0.06,0.513,2.17E-79,1,Marcks
187,2.23E-83,-0.7792059,0.048,0.502,3.11E-79,1,Rassf4
188,2.87E-83,0.526825729,0.956,0.717,4.02E-79,1,Limd2
189,7.30E-83,-1.364593226,0.048,0.494,1.02E-78,1,Fcgr1
190,1.84E-82,0.333133314,0.994,0.992,2.57E-78,1,Naca
191,2.02E-82,0.265912567,1,1,2.82E-78,1,Rpl11
192,2.17E-82,0.2669814,0.299,0.065,3.04E-78,1,Prf1
193,3.89E-82,-1.538258733,0.079,0.52,5.43E-78,1,Lgmn
194,6.23E-82,-0.951024022,0.054,0.5,8.71E-78,1,Clec12a
195,1.02E-81,-0.606202259,0.744,0.857,1.43E-77,1,Atp6v1g1
196,1.06E-81,0.304502444,0.468,0.149,1.49E-77,1,Psph
197,1.24E-81,-1.020416448,0.05,0.494,1.73E-77,1,Pid1
198,1.46E-81,1.619430294,0.541,0.211,2.05E-77,1,Ccl3
199,1.73E-81,0.258432289,0.358,0.093,2.42E-77,1,Fam92a
200,5.84E-81,-0.941644913,0.262,0.654,8.17E-77,1,Zfp36
201,1.12E-80,-1.099947807,0.052,0.492,1.57E-76,1,Clec4a3
202,1.82E-80,0.303180303,1,0.995,2.54E-76,1,Rpl7a
203,2.92E-80,0.67779453,0.931,0.788,4.09E-76,1,Rpl29
204,2.96E-80,-0.804329157,0.123,0.544,4.15E-76,1,Lyn
205,3.55E-80,-1.660825757,0.16,0.583,4.96E-76,1,Ccl9
206,5.73E-80,0.40444528,0.981,0.946,8.01E-76,1,Eif3h
207,1.27E-79,0.283261078,0.549,0.185,1.78E-75,1,Acap1
208,3.13E-79,-1.015574836,0.071,0.507,4.38E-75,1,Cfp
209,3.86E-79,-0.774587975,0.227,0.617,5.40E-75,1,Nrros
210,1.39E-78,0.335380145,0.524,0.181,1.94E-74,1,Rasal3
211,1.62E-78,0.776126485,0.778,0.42,2.27E-74,1,Klrd1
212,5.26E-78,-0.728296771,0.042,0.477,7.35E-74,1,App
213,5.27E-78,0.27546107,0.368,0.097,7.37E-74,1,Fasl
214,1.30E-76,0.511982671,0.956,0.847,1.82E-72,1,Gmfg
215,1.62E-76,0.454569013,0.948,0.819,2.27E-72,1,Gm8730
216,2.16E-76,-0.754843815,0.044,0.474,3.02E-72,1,Lrrc25
217,3.12E-76,0.352653677,0.491,0.173,4.36E-72,1,2010111I01Rik
218,4.74E-76,0.503322643,0.913,0.632,6.63E-72,1,Saraf
219,6.19E-76,-0.785837103,0.256,0.626,8.65E-72,1,Hexa
220,1.51E-75,0.280642902,0.356,0.099,2.12E-71,1,Osbpl3
221,1.60E-75,0.308918414,0.439,0.139,2.24E-71,1,Cblb
222,2.60E-75,0.279322764,0.316,0.078,3.64E-71,1,Mgst2
223,2.70E-75,0.276982796,1,0.998,3.77E-71,1,Rpl7
224,3.43E-75,0.325642348,1,0.997,4.79E-71,1,Rpl10a
225,4.03E-75,0.329266619,0.996,0.993,5.63E-71,1,Myl6
226,4.11E-75,-0.67370828,0.218,0.597,5.75E-71,1,Stx7
227,4.80E-75,0.308005356,1,0.999,6.71E-71,1,Rps18
228,9.48E-75,-1.330627183,0.166,0.544,1.33E-70,1,Lst1
229,1.48E-74,0.274275187,0.586,0.214,2.06E-70,1,Serpinb6b
230,1.95E-74,0.285221207,1,0.999,2.73E-70,1,Rpl34
231,3.43E-74,-0.706714459,0.229,0.604,4.80E-70,1,Skap2
232,3.67E-74,-0.647333344,0.125,0.536,5.14E-70,1,Rnf130
233,8.48E-74,-0.718650754,0.04,0.455,1.19E-69,1,BC028528
234,1.08E-73,-1.002140981,0.056,0.47,1.52E-69,1,Clec4a1
235,1.14E-73,-0.873590641,0.054,0.469,1.59E-69,1,AF251705
236,2.26E-73,0.263618107,0.283,0.065,3.16E-69,1,Rora
237,3.35E-72,-0.765203789,0.056,0.467,4.68E-68,1,Hck
238,4.56E-72,-0.787534137,0.526,0.753,6.38E-68,1,Serp1
239,8.82E-72,0.364304913,1,0.999,1.23E-67,1,Rps2
240,9.36E-72,0.320561913,0.426,0.134,1.31E-67,1,Prkca
241,1.27E-71,-0.603997411,0.039,0.452,1.78E-67,1,Ifngr2
242,3.40E-71,-0.712664263,0.528,0.756,4.76E-67,1,Bri3
243,4.44E-71,0.306561647,0.447,0.148,6.22E-67,1,Inpp1
244,2.12E-70,0.502742105,0.832,0.566,2.96E-66,1,Ech1
245,2.33E-70,0.524474023,0.94,0.811,3.26E-66,1,Arl6ip1
246,2.34E-70,0.26769513,1,0.999,3.28E-66,1,Rps15
247,3.77E-70,0.479096861,0.869,0.61,5.27E-66,1,Slc25a4
248,6.21E-70,0.252977775,0.299,0.077,8.68E-66,1,Smco4
249,6.89E-70,-0.686576388,0.042,0.44,9.64E-66,1,Sirpa
250,1.14E-69,0.267957464,0.568,0.203,1.59E-65,1,Ablim1
251,1.39E-69,-0.762104092,0.046,0.446,1.94E-65,1,AI607873
252,2.03E-69,-0.769304855,0.649,0.79,2.84E-65,1,Sdcbp
253,2.42E-69,-0.784031383,0.867,0.865,3.38E-65,1,Atox1
254,2.86E-69,-1.027952692,0.451,0.716,4.01E-65,1,Ccr2
255,3.22E-69,-0.618290748,0.077,0.474,4.51E-65,1,Plekho1
256,6.80E-69,-1.305649136,0.372,0.678,9.51E-65,1,Ms4a4c
257,8.40E-69,0.375036993,0.64,0.281,1.17E-64,1,Traf3ip3
258,2.36E-68,0.409220568,0.669,0.308,3.30E-64,1,Fam107b
259,2.50E-68,0.414855944,0.734,0.361,3.50E-64,1,Pld3
260,3.52E-68,-0.825188285,0.042,0.438,4.92E-64,1,Csf1r
261,4.16E-68,-0.984125721,0.048,0.444,5.82E-64,1,Clec4a2
262,5.37E-68,0.504221679,0.599,0.247,7.51E-64,1,Cxcr3
263,9.09E-68,0.478342405,0.985,0.726,1.27E-63,1,H2-Q7
264,1.17E-67,0.710718638,0.871,0.694,1.64E-63,1,Sdf4
265,1.28E-67,-0.880291556,0.245,0.591,1.79E-63,1,Zeb2
266,1.51E-67,0.250814592,1,0.999,2.11E-63,1,Rpl6
267,1.64E-67,0.404940933,0.992,0.926,2.30E-63,1,Rpl22l1
268,1.71E-67,0.2535115,0.364,0.105,2.39E-63,1,Gata3
269,3.35E-67,-0.749718806,0.035,0.428,4.69E-63,1,Cd300a
270,3.43E-67,0.265285348,0.391,0.123,4.79E-63,1,Rcn1
271,5.42E-67,-0.795769504,0.208,0.566,7.58E-63,1,Prkcd
272,1.40E-66,0.253810976,0.343,0.099,1.96E-62,1,Hdac7
273,2.31E-66,0.280812204,1,0.994,3.23E-62,1,Gnb2l1
274,1.55E-65,0.411018294,0.992,0.948,2.16E-61,1,Shisa5
275,1.59E-65,-1.164974468,0.287,0.597,2.22E-61,1,Lilrb4a
276,2.04E-65,-0.645676672,0.079,0.458,2.85E-61,1,Tmem106a
277,2.17E-65,-1.356689223,0.593,0.732,3.03E-61,1,Ctsc
278,2.88E-65,-0.602093591,0.058,0.44,4.03E-61,1,Kctd12
279,4.72E-65,0.284551885,1,0.999,6.60E-61,1,Rps20
280,5.99E-65,0.304389951,0.998,0.993,8.37E-61,1,Rps21
281,1.13E-64,-1.002822445,0.836,0.857,1.57E-60,1,Prdx5
282,1.15E-63,-0.716688707,0.491,0.72,1.60E-59,1,Rrbp1
283,3.11E-63,-0.933607156,0.214,0.552,4.35E-59,1,Plin2
284,3.18E-63,-0.770897199,0.04,0.417,4.45E-59,1,Gda
285,3.30E-63,-0.692571927,0.039,0.415,4.61E-59,1,Sdc3
286,3.89E-63,-0.940143958,0.025,0.4,5.44E-59,1,Sirpb1c
287,4.09E-63,0.306422721,0.439,0.154,5.72E-59,1,Agpat3
288,8.62E-63,0.369259241,0.62,0.283,1.21E-58,1,Def6
289,8.64E-63,0.262183082,0.418,0.139,1.21E-58,1,Abhd8
290,1.48E-62,0.484696926,0.676,0.364,2.08E-58,1,Batf
291,2.37E-62,0.345526183,0.657,0.303,3.32E-58,1,Itgal
292,4.14E-62,-0.692237275,0.95,0.934,5.80E-58,1,Npc2
293,7.46E-62,-0.791918974,0.254,0.566,1.04E-57,1,Ccdc109b
294,1.04E-61,-0.846311026,0.064,0.431,1.46E-57,1,Slamf8
295,1.95E-61,0.276316504,0.212,0.045,2.72E-57,1,Crtam
296,1.99E-61,-0.681618539,0.048,0.416,2.79E-57,1,Itgam
297,2.11E-61,0.26046162,1,1,2.96E-57,1,Rpl37
298,2.61E-61,0.287933392,0.998,0.998,3.65E-57,1,Rps12
